entrez_gene_id	gene_symbol	association_score	breast cancer	carcinoid	cervical cancer	colorectal cancer	endometrial cancer	glioma	head and neck cancer	liver cancer	lung cancer	lymphoma	melanoma	ovarian cancer	pancreatic cancer	prostate cancer	renal cancer	skin cancer	stomach cancer	testis cancer	thyroid cancer	urothelial cancer	adrenal gland_glandular cells	appendix_glandular cells	appendix_lymphoid tissue	bone marrow_hematopoietic cells	breast_adipocytes	breast_glandular cells	breast_myoepithelial cells	bronchus_respiratory epithelial cells	cerebellum_cells in granular layer	cerebellum_cells in molecular layer	cerebellum_Purkinje cells	cerebral cortex_endothelial cells	cerebral cortex_glial cells	cerebral cortex_neuronal cells	cerebral cortex_neuropil	"cervix, uterine_glandular cells"	"cervix, uterine_squamous epithelial cells"	colon_endothelial cells	colon_glandular cells	colon_peripheral nerve/ganglion	duodenum_glandular cells	epididymis_glandular cells	esophagus_squamous epithelial cells	fallopian tube_glandular cells	gallbladder_glandular cells	heart muscle_myocytes	hippocampus_glial cells	hippocampus_neuronal cells	kidney_cells in glomeruli	kidney_cells in tubules	lateral ventricle_glial cells	lateral ventricle_neuronal cells	liver_bile duct cells	liver_hepatocytes	lung_macrophages	lung_pneumocytes	lymph node_germinal center cells	lymph node_non-germinal center cells	nasopharynx_respiratory epithelial cells	oral mucosa_squamous epithelial cells	ovary_ovarian stroma cells	pancreas_exocrine glandular cells	pancreas_islets of Langerhans	parathyroid gland_glandular cells	placenta_decidual cells	placenta_trophoblastic cells	prostate_glandular cells	rectum_glandular cells	salivary gland_glandular cells	seminal vesicle_glandular cells	skeletal muscle_myocytes	skin 1_fibroblasts	skin 1_keratinocytes	skin 1_Langerhans	skin 1_melanocytes	skin 2_epidermal cells	small intestine_glandular cells	smooth muscle_smooth muscle cells	soft tissue 1_adipocytes	soft tissue 1_fibroblasts	soft tissue 1_peripheral nerve	soft tissue 2_adipocytes	soft tissue 2_fibroblasts	soft tissue 2_peripheral nerve	spleen_cells in red pulp	spleen_cells in white pulp	stomach 1_glandular cells	stomach 2_glandular cells	testis_cells in seminiferous ducts	testis_Leydig cells	thyroid gland_glandular cells	tonsil_germinal center cells	tonsil_non-germinal center cells	tonsil_squamous epithelial cells	urinary bladder_urothelial cells	uterus 1_cells in endometrial stroma	uterus 1_glandular cells	uterus 2_cells in endometrial stroma	uterus 2_glandular cells	vagina_squamous epithelial cells	ovary_follicle cells	soft tissue 1_chondrocytes	soft tissue 2_chondrocytes
6150	MRPL23	0.039698335	Medium	High	Medium	High	High	Medium	High	Medium	Medium	Medium	High	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	High	NA	Medium	Not detected	Medium	Medium	High	Not detected	Medium	High	Not detected	Medium	High	Not detected	Medium	Medium	Medium	High	Medium	High	Medium	High	Medium	High	Medium	Low	Medium	Not detected	High	Low	Medium	Not detected	High	Medium	Not detected	Low	Not detected	High	High	Low	High	High	High	Medium	Medium	Medium	High	Medium	Medium	Not detected	Medium	Medium	Medium	Medium	High	High	Low	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Medium	High	High	Low	Medium	Medium	High	Medium	Medium	Medium	Low	Medium	Not detected	Medium	Medium	NA	Not detected	Not detected
6273	S100A2	0.039698335	Not detected	Not detected	Medium	Medium	Medium	Medium	Medium	Low	Medium	Not detected	Not detected	Medium	Low	Not detected	Not detected	Medium	Not detected	Not detected	Medium	Medium	Not detected	Not detected	Not detected	Low	Not detected	NA	NA	High	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Medium	Not detected	Not detected	Not detected	Not detected	Not detected	High	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Medium	Not detected	Not detected	Not detected	Not detected	Low	Not detected	Not detected	Not detected	High	Medium	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Low	Not detected	Not detected	Not detected	Medium	Not detected	Not detected	Medium	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Medium	Medium	Not detected	Not detected	Not detected	Not detected	Medium	Not detected	Low	Low
6375	XCL1	0.039698335	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	High	Low	Not detected	Not detected	Not detected	Not detected	Not detected	Medium	Low	Not detected	Not detected	Low	Not detected	Not detected	Low	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Medium	Not detected	Not detected	Not detected	Not detected	Medium	Not detected	Not detected	Not detected	Not detected	Medium	Not detected	NA	Low	Low	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Medium	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	NA
6615	SNAI1	0.039698335	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	Not detected	High	High	High	High	High	Medium	Not detected	High	High	Low	High	High	NA	High	NA	High	High	High	High	High	Medium	Medium	High	High	High	High	High	Low	Not detected	High	High	High	High	High	High	Medium	High	High	High	High	High	Medium	High	High	High	High	High	High	Medium	Medium	High	High	Medium	Medium	High	Medium	Low	Medium	Low	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	NA	Low	NA
7019	TFAM	0.039698335	Medium	Medium	Low	Medium	Medium	Low	Low	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Low	Medium	Medium	Medium	High	Medium	Medium	Medium	NA	Low	Not detected	High	High	Medium	Medium	Medium	Medium	Low	Low	Medium	Not detected	Not detected	Medium	Low	Medium	Not detected	Medium	Low	High	Medium	Medium	Medium	Not detected	Medium	Not detected	Medium	Not detected	Medium	Not detected	Low	Low	Not detected	Medium	Medium	Medium	Medium	Low	Medium	Low	Medium	NA	Medium	Low	Medium	Medium	Medium	Low	Low	Medium	Medium	Medium	Medium	Medium	Not detected	Not detected	Low	Low	Not detected	Low	NA	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Not detected	Low	Not detected	Medium	Medium	Low	Medium	Medium
7276	TTR	0.039698335	Not detected	Low	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Medium	Not detected	Not detected	Not detected	Low	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	High	Not detected	Not detected	Not detected	Medium	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Medium	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	NA	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	NA
7381	UQCRB	0.039698335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7431	VIM	0.039698335	High	Not detected	Medium	Not detected	High	High	Medium	High	Medium	Medium	High	Not detected	Medium	Not detected	High	Medium	Medium	Medium	Medium	Medium	Low	Not detected	High	High	High	Not detected	Medium	Low	Not detected	Not detected	Not detected	High	Low	Not detected	Not detected	Medium	Medium	High	Not detected	Medium	Not detected	High	Not detected	High	Not detected	Not detected	Low	Not detected	High	Not detected	Medium	Not detected	Low	Not detected	High	High	High	High	Low	Not detected	High	Medium	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	High	Not detected	High	Not detected	High	High	Not detected	Not detected	Not detected	High	High	NA	High	High	High	High	Medium	Not detected	Not detected	High	High	High	High	High	Medium	Not detected	Low	Medium	Low	Medium	Not detected	Low	NA	NA
7532	YWHAG	0.039698335	High	High	Medium	High	Medium	High	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	High	Medium	Medium	High	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	High	High	High	Low	Medium	High	Low	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	High	Medium	Medium	High	High	Medium	Medium	High	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	High	High	High	Medium	Medium	Low	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Low	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	High	High	Medium	Medium	Medium	Medium	High	High	High	Low	High	Low	Medium	Low	Low
7879	RAB7A	0.039698335	High	Medium	Medium	High	Medium	Medium	Medium	Medium	Medium	High	High	Medium	Medium	Medium	Medium	Medium	Medium	High	Medium	High	High	High	Medium	Medium	Medium	High	High	High	Medium	Medium	High	Medium	Medium	High	Medium	Medium	Medium	Medium	High	Medium	High	High	High	Medium	High	Medium	Medium	Medium	Medium	Medium	Medium	High	Low	High	High	Medium	Medium	Medium	High	High	Medium	High	High	High	Medium	High	High	High	Medium	Medium	Medium	Medium	Medium	Medium	High	Medium	High	Medium	Medium	Medium	Low	Medium	Medium	Low	Medium	Medium	High	High	Medium	High	High	High	Medium	High	High	Medium	Medium	Low	High	Medium	NA	NA	NA
8350	HIST1H3A	0.039698335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8424	BBOX1	0.039698335	Low	Low	Not detected	Not detected	Low	Low	Not detected	Not detected	Low	Not detected	Low	Medium	Low	Low	Low	Low	Not detected	Not detected	Low	Low	Not detected	Not detected	Not detected	Not detected	Low	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Low	Not detected	Not detected	Not detected	Not detected	Not detected	Low	Not detected	Low	Not detected	Not detected	Not detected	Medium	Not detected	Low	Not detected	Not detected	High	Low	Not detected	Not detected	Medium	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Low	Low	Not detected	Not detected	Not detected	Not detected	Low	Not detected	Not detected	Not detected	Low	Not detected	Low	Low	Not detected	Low	Low	Not detected	Not detected	Not detected	Low	Low	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected
9370	ADIPOQ	0.039698335	Not detected	Low	Medium	Not detected	High	Low	Medium	Low	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Medium	Low	Not detected	Not detected	Low	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Low	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Medium	High	Not detected	NA	Not detected	Low	Medium	Not detected	Not detected	High	Not detected	Not detected	High	Not detected	Not detected	Not detected	Low	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Medium	Not detected	Not detected	Not detected	Not detected	Medium	Not detected	Low	Not detected	Not detected	Not detected	Medium	Medium	Low	Not detected	Low	Medium	Not detected	Medium	NA	Not detected	NA	Medium	Not detected	NA	Not detected	Not detected	Not detected	Low	Not detected	Low	Not detected	Not detected	Not detected	Not detected	Not detected	High	Not detected	Medium	Not detected	Medium	NA	NA	Not detected
9770	RASSF2	0.039698335	High	Medium	Medium	High	High	Medium	High	High	Medium	High	Medium	High	Medium	High	Medium	Medium	Medium	Medium	High	Medium	High	High	Medium	High	NA	NA	NA	High	Medium	Medium	Medium	Medium	Low	Medium	Medium	High	Medium	High	High	Medium	High	High	Medium	High	High	High	Medium	Medium	Medium	High	Medium	Medium	Medium	High	High	Medium	High	High	High	Medium	Medium	Medium	Medium	High	NA	High	Medium	Medium	High	High	Medium	Medium	Medium	Medium	Medium	Medium	High	Medium	Medium	Medium	Not detected	Low	Medium	Medium	Medium	Medium	High	High	High	High	Medium	High	High	High	Medium	Medium	High	Medium	High	Medium	NA	Medium	NA
10534	SSSCA1	0.039698335	Medium	Medium	Medium	Medium	Medium	Low	Medium	Medium	Medium	High	Medium	Medium	Medium	Medium	Medium	Low	Low	High	Medium	Medium	Low	Medium	Low	Medium	Not detected	Medium	Not detected	Low	Low	Not detected	Low	Not detected	Not detected	High	Medium	Low	Low	Low	Low	Medium	Not detected	Medium	Medium	Medium	Medium	Not detected	Not detected	Not detected	Not detected	High	Not detected	Low	Not detected	Not detected	Not detected	Not detected	Low	Medium	Medium	Low	Not detected	Medium	Low	Not detected	High	Medium	Not detected	Medium	Low	Medium	Not detected	Not detected	Not detected	Not detected	Not detected	Medium	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Medium	Medium	High	Low	Low	Medium	Low	Not detected	Medium	Not detected	Not detected	Not detected	Medium	Low	NA	NA	NA
11020	IFT27	0.039698335	Medium	Not detected	Not detected	Low	Not detected	Low	Not detected	Medium	Low	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Low	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Low	Low	Low	Not detected	Not detected	Not detected	High	Medium	Not detected	Not detected	Not detected	Medium	Low	Medium	Not detected	Not detected	Not detected	Low	Not detected	Not detected	High	Not detected	Low	Not detected	Medium	Not detected	Medium	Low	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	NA	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Low	Not detected	Not detected	Not detected	Not detected	Not detected	Low	Medium	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Medium	Medium	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	NA	NA
26511	CHIC2	0.039698335	Low	Low	Low	Medium	Medium	Medium	Low	Medium	High	Low	Low	Medium	Medium	Medium	Low	Low	Medium	Low	Medium	Medium	Low	Medium	Not detected	Medium	Medium	Low	Low	Medium	Not detected	Not detected	Not detected	Low	Not detected	Not detected	Not detected	Medium	Low	Not detected	Low	Low	Not detected	Low	Low	Not detected	Medium	Low	Not detected	Not detected	Medium	Medium	Not detected	Not detected	Medium	Not detected	Low	Not detected	Not detected	Not detected	Medium	Not detected	Not detected	Low	Not detected	Low	Medium	Not detected	Low	Low	Low	Medium	Low	Medium	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Low	Medium	Low	Low	Low	Low	Medium	Not detected	Low	Low	Low	Medium	Low	Not detected	Low	Low	High	Not detected	Not detected	Not detected	Medium	Low	Not detected	Low	NA
29107	NXT1	0.039698335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
50863	NTM	0.039698335	Not detected	Not detected	Low	Low	Low	Low	Not detected	Low	Low	Not detected	Low	Low	Low	Not detected	Not detected	Low	Low	Low	Low	Low	Medium	Not detected	Not detected	Not detected	Not detected	Low	Not detected	Not detected	High	Not detected	Not detected	Not detected	Not detected	Low	Medium	Not detected	Not detected	Not detected	Not detected	NA	Not detected	Low	Not detected	Not detected	Low	Not detected	Low	Not detected	Not detected	Not detected	Low	Not detected	Not detected	Not detected	Medium	Not detected	Not detected	Not detected	Low	Not detected	Not detected	Not detected	Not detected	Low	Low	Not detected	Not detected	Not detected	Low	Not detected	Not detected	Low	Low	Low	Low	Low	Not detected	Not detected	Low	Low	Not detected	Low	Low	Low	Not detected	Not detected	Not detected	Not detected	Low	Not detected	Low	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Low	Not detected	Low	Not detected	NA
51053	GMNN	0.039698335	Low	Medium	Medium	Medium	Low	Low	Medium	Low	Low	Low	Low	Medium	Medium	Low	Not detected	Low	Low	Medium	Low	Medium	Not detected	Medium	Medium	Not detected	Not detected	Low	Not detected	Low	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Low	Not detected	Low	High	Low	High	Not detected	Low	Medium	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Low	Not detected	Medium	Low	Low	Medium	Not detected	Not detected	Not detected	Not detected	Low	Low	Not detected	Medium	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Low	Medium	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Low	Medium	Medium	Not detected	Not detected	Low	Low	Medium	Not detected	Not detected	Low	Not detected	Low	Low	NA	Not detected	NA
51118	UTP11L	0.039698335	High	High	High	High	High	High	High	High	High	Medium	High	High	High	High	High	High	High	High	Medium	High	Medium	Medium	Medium	Medium	Medium	High	High	High	Low	Low	High	Low	Medium	High	Low	NA	High	Not detected	High	Low	Medium	High	High	High	Medium	Medium	Medium	High	Low	High	Medium	High	Low	High	Medium	Medium	Medium	Medium	High	Not detected	Low	High	NA	Low	NA	Medium	High	High	High	High	High	Medium	High	High	High	High	Medium	Medium	Medium	NA	NA	Low	Medium	Low	Medium	Medium	Medium	NA	High	High	Medium	Medium	Medium	High	High	Medium	Medium	Low	Low	High	NA	NA	NA
51127	TRIM17	0.039698335	Medium	High	Medium	High	Medium	Medium	Medium	Medium	High	Medium	Medium	Medium	High	High	Low	Medium	Medium	Medium	Medium	Medium	Medium	Medium	NA	Not detected	Not detected	Medium	Medium	High	Not detected	Low	Medium	Not detected	Not detected	Low	Medium	Low	Low	Low	High	Medium	Medium	Medium	Medium	Medium	High	Low	Not detected	Not detected	Medium	High	Not detected	Not detected	Not detected	Not detected	Medium	Medium	Medium	Not detected	High	Medium	Low	Medium	High	Not detected	Low	Medium	Medium	High	Medium	Medium	Low	Not detected	Not detected	Not detected	Medium	Medium	Medium	Not detected	NA	Medium	NA	Not detected	Not detected	NA	Not detected	Not detected	Low	Medium	Medium	Medium	Medium	Medium	Not detected	Medium	Medium	Low	Medium	Not detected	Medium	Medium	NA	Medium	NA
51582	AZIN1	0.039698335	Low	Low	Low	Medium	Low	Low	Low	Medium	Low	Low	Low	Medium	Low	Low	Low	Low	Medium	Low	Low	Low	High	Medium	Not detected	Medium	Low	Medium	Low	Medium	Not detected	Low	Low	Not detected	Low	Medium	Not detected	Not detected	Medium	Low	High	NA	High	Medium	High	Medium	Medium	Medium	Low	Medium	Low	Medium	Medium	Low	Low	High	Medium	Medium	Low	Medium	Low	High	Not detected	High	Not detected	Medium	Medium	High	Low	High	Low	Low	Medium	Low	Medium	Low	Low	Medium	High	Low	Medium	Low	Not detected	NA	Low	Low	Medium	Low	High	Not detected	Low	Medium	Medium	NA	Not detected	Medium	Medium	Low	Medium	Low	Low	Medium	Not detected	NA	NA
54855	FAM46C	0.039698335	Not detected	Not detected	Not detected	Not detected	Medium	Not detected	Not detected	Not detected	Low	Not detected	Not detected	Not detected	Not detected	Medium	Not detected	Low	Not detected	Low	Low	Not detected	Medium	Not detected	Not detected	Low	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Medium	Not detected	Not detected	Not detected	Not detected	Not detected	Low	Not detected	Medium	Low	Not detected	Low	Medium	Not detected	Low	Not detected	Medium	Not detected	Medium	Not detected	Not detected	Not detected	Not detected	Not detected	Low	Not detected	Low	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Medium	Low	Not detected	Medium	Low	Not detected	Medium	Not detected	Not detected	Not detected	Not detected	NA	Not detected	Not detected	Not detected	Low	Not detected	Not detected	Not detected	Low	Low	Not detected	Medium	Low	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Low	Low	Not detected	NA
55150	C19orf73	0.039698335	Low	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	NA	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Low	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	NA	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	NA
55273	TMEM100	0.039698335	Not detected	Low	Not detected	Not detected	Low	Low	Not detected	Low	Not detected	Not detected	Not detected	Low	Low	Not detected	Not detected	Not detected	Not detected	Not detected	Low	Not detected	Medium	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Medium	Not detected	Not detected	Not detected	Medium	Medium	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Low	Not detected	Not detected	Not detected	Low	Not detected	Low	Not detected	Not detected	Not detected	Low	Not detected	Not detected	Low	Not detected	Low	Low	Not detected	Not detected	Not detected	Medium	Not detected	Not detected	Low	Low	Not detected	Low	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Low	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Low	Medium	Low	Low	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	NA	NA	NA
55333	SYNJ2BP	0.039698335	Medium	High	Medium	Medium	Medium	Not detected	Medium	Medium	Medium	Not detected	Low	Medium	Medium	High	High	Low	Medium	Medium	Medium	Low	Low	Medium	Not detected	Not detected	Not detected	Low	Low	Low	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Medium	Not detected	Not detected	Low	Low	NA	High	Medium	Low	Not detected	Medium	Low	Not detected	Not detected	Not detected	Medium	Not detected	Not detected	NA	Low	Medium	Medium	Not detected	Not detected	Low	Not detected	Not detected	Medium	Not detected	Medium	Low	Not detected	Medium	Medium	Medium	Low	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Medium	Not detected	Not detected	Not detected	NA	Not detected	Not detected	Low	Not detected	Not detected	High	High	Medium	Low	Low	Not detected	Not detected	Not detected	Medium	Not detected	Low	Not detected	Low	Not detected	Low	NA	NA
55738	ARFGAP1	0.039698335	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Low	Medium	Medium	Medium	Medium	Medium	Medium	Low	Low	Low	Not detected	Low	Low	Low	Low	Not detected	Not detected	Low	Medium	Not detected	Medium	Not detected	Low	Low	Low	NA	Low	Medium	Medium	Medium	Medium	Medium	Not detected	Not detected	Not detected	Low	Low	Not detected	Low	Medium	Not detected	Low	Low	Not detected	Medium	Medium	Low	High	Low	NA	Medium	Low	Not detected	Medium	Medium	Medium	Low	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Not detected	Not detected	Low	Not detected	Not detected	NA	Not detected	Not detected	Medium	Medium	Low	Medium	Low	Low	Not detected	Medium	Medium	Not detected	Low	Low	Medium	Medium	NA	Medium	Not detected
55810	FOXJ2	0.039698335	Low	Low	Low	Medium	Low	Low	Medium	Low	Medium	Low	Medium	Medium	Medium	Low	High	Medium	Low	Medium	Low	High	Low	Low	Not detected	Medium	Not detected	Low	Low	Medium	Low	Low	Medium	Medium	Low	Medium	Not detected	Medium	Medium	Medium	Medium	Medium	High	Medium	High	Not detected	Medium	High	Low	Medium	Medium	Not detected	Not detected	Medium	Not detected	Low	Medium	High	Medium	High	High	Medium	Medium	Low	Low	Medium	Medium	Low	Not detected	Low	High	Not detected	Medium	High	Medium	Medium	Medium	Medium	High	Medium	Medium	Medium	Medium	Low	Low	Not detected	Low	Not detected	Medium	Low	Low	Low	Medium	Low	Low	High	High	Medium	Medium	Medium	Medium	Medium	NA	NA	NA
55888	ZKSCAN7	0.039698335	Medium	Medium	Low	Medium	Medium	Medium	Medium	Medium	Medium	Low	Medium	Medium	Medium	Medium	Low	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Not detected	Not detected	Medium	Medium	Medium	Not detected	Not detected	Not detected	Medium	Not detected	Not detected	Not detected	Low	Medium	Low	Medium	Not detected	Medium	Low	High	Medium	Medium	Medium	Not detected	Not detected	Not detected	Medium	Not detected	Not detected	Not detected	Medium	Low	Not detected	Medium	Medium	Medium	High	Not detected	High	Not detected	High	NA	Low	Not detected	High	Medium	Medium	Medium	Medium	Medium	Medium	Medium	High	Medium	Not detected	NA	NA	NA	NA	Not detected	Not detected	Low	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Low	High	Low	Not detected	Not detected	Not detected	Medium	Medium	NA	Not detected	NA
55906	ZC4H2	0.039698335	Medium	Medium	Low	Medium	Low	Low	Not detected	Medium	Not detected	Not detected	Medium	Low	Low	Low	Low	Medium	Medium	Medium	Not detected	High	Not detected	Low	Not detected	Not detected	Not detected	Medium	Medium	High	Not detected	Not detected	Low	Not detected	Not detected	Low	Medium	Medium	NA	Low	Not detected	Low	Low	Medium	Medium	Low	Medium	Low	Not detected	Low	Not detected	Not detected	Not detected	Low	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	High	Low	Not detected	Medium	Not detected	Not detected	NA	Not detected	Not detected	Medium	Low	Not detected	Not detected	Not detected	Not detected	Not detected	Low	Medium	Low	High	Not detected	Not detected	Low	Not detected	Not detected	NA	Not detected	Not detected	Low	Medium	Low	Not detected	Medium	Medium	Not detected	Medium	Medium	Low	Low	Not detected	Not detected	Medium	Medium	Not detected	NA
